Index,Micros,BMP,Temperature (°C),Pressure (hPa),Altitude (m),,,,,,
Index,Micros,GPS,Latitude,Longitude,Altitude,Speed,Satellites,,,,
Index,Micros,BNO,Yaw,Pitch,Roll,MagX,MagY,MagZ,AccX,AccY,AccZ
,,,,,,,,,,,
193,77091332,BMP390,21.94,1007.43,0.06,,,,,,
194,77148334,BNO,-98.19,-23.57,-9.02,-28.44,-47.63,-98.19,0.18,0.13,-0.15
195,77203892,BMP390,21.93,1007.43,0.02,,,,,,
196,77260901,BNO,-98.19,-23.57,-9.02,-28.44,-47.63,-98.19,0.44,0.29,-0.17
197,77318553,GPS,0,0,0,0,0,0,,,
198,77348330,BMP390,21.93,1007.43,0.03,,,,,,
199,77405307,BNO,-94.88,-22.71,-11.77,-28.44,-47.63,-98.19,0.44,0.29,-0.17
200,77460756,BMP390,21.92,1007.44,-0.04,,,,,,
201,77517819,BNO,-94.88,-22.71,-11.77,-28.44,-47.63,-98.19,0.05,-0.02,-0.38
202,77576325,GPS,0,0,0,0,0,0,,,
203,77604032,BMP390,21.92,1007.45,-0.11,,,,,,
204,77662644,BNO,-94.88,-22.71,-11.77,-25.94,-45,-98.81,0.05,-0.02,-0.38
205,77719633,BMP390,21.91,1007.44,-0.08,,,,,,
206,77776651,BNO,-94.52,-24.02,-14.43,-25.94,-45,-98.81,0.05,-0.02,-0.38
207,77835093,GPS,0,0,0,0,0,0,,,
208,77864063,BMP390,21.91,1007.45,-0.14,,,,,,
209,77921084,BNO,-93.82,-23.85,-14.34,-25.94,-45,-98.81,0.05,-0.02,-0.38
210,77976266,BMP390,21.9,1007.45,-0.15,,,,,,
211,78033253,BNO,-93.82,-23.85,-14.34,-25.94,-45,-98.81,-0.04,-0.02,-0.2
212,78092018,GPS,0,0,0,0,0,0,,,
213,78122386,BMP390,21.9,1007.44,-0.08,,,,,,
214,78179422,BNO,-93,-24.32,-14.35,-25.94,-45,-98.81,-0.04,-0.02,-0.2
215,78235440,BMP390,21.89,1007.44,-0.04,,,,,,
216,78292449,BNO,-93,-24.32,-14.35,-25.94,-45,-98.81,0.03,-0.12,-0.03
217,78350598,GPS,0,0,0,0,0,0,,,
218,78379119,BMP390,21.89,1007.44,-0.05,,,,,,
219,78436091,BNO,-92.72,-22.43,-13.92,-25.94,-45,-98.81,0.03,-0.12,-0.03
220,78492607,BMP390,21.88,1007.44,-0.04,,,,,,
221,78549672,BNO,-92.88,-17.91,-12.74,-25.94,-45,-98.81,0.03,-0.12,-0.03
222,78609865,GPS,0,0,0,0,0,0,,,
223,78638316,BMP390,21.88,1007.44,-0.06,,,,,,
224,78695289,BNO,-92.88,-17.91,-12.74,-18.94,-44,-103.56,0.03,-0.12,-0.03
225,78752046,BMP390,21.87,1007.45,-0.11,,,,,,
226,78809038,BNO,-92.88,-17.91,-12.74,-18.94,-44,-103.56,-0.45,0.11,0.11
227,78867042,GPS,0,0,0,0,0,0,,,
228,78895421,BMP390,21.87,1007.45,-0.11,,,,,,
229,78952464,BNO,-92.88,-17.91,-12.74,-18.94,-44,-103.56,0.14,0.16,0.07
230,79008225,BMP390,21.86,1007.45,-0.1,,,,,,
231,79066933,BNO,-91.18,-15,-12.11,-18.94,-44,-103.56,0.14,0.16,0.07
232,79124716,GPS,0,0,0,0,0,0,,,
233,79154460,BMP390,21.86,1007.44,-0.06,,,,,,
234,79211914,BNO,-90.7,-14.53,-11.67,-18.94,-44,-103.56,0.14,0.16,0.07
235,79266300,BMP390,21.85,1007.44,-0.06,,,,,,
236,79323334,BNO,-90.7,-14.53,-11.67,-17.63,-44.06,-108.5,0.14,0.16,0.07
237,79381933,GPS,0,0,0,0,0,0,,,
238,79410645,BMP390,21.85,1007.44,-0.01,,,,,,
239,79467642,BNO,-88.87,-14.17,-12.18,-17.63,-44.06,-108.5,0.14,0.16,0.07
240,79525185,BMP390,21.84,1007.43,0.03,,,,,,
241,79582202,BNO,-88.87,-14.17,-12.18,-18.63,-42.06,-105.25,0.14,0.16,0.07
242,79640638,GPS,0,0,0,0,0,0,,,
243,79670794,BMP390,21.84,1007.43,0.02,,,,,,
244,79727816,BNO,-88.87,-14.17,-12.18,-18.63,-42.06,-105.25,0.2,-0.12,0.01
245,79783587,BMP390,21.83,1007.44,-0.01,,,,,,
246,79840566,BNO,-88.87,-14.17,-12.18,-17.88,-41.69,-104.81,0.2,-0.12,0.01
247,79898065,GPS,0,0,0,0,0,0,,,
248,79927661,BMP390,21.83,1007.43,0.08,,,,,,
249,79987009,BNO,-88.87,-14.17,-12.18,-17.88,-41.69,-104.81,-0.26,0.25,-0.45
250,80042105,BMP390,21.82,1007.43,0.03,,,,,,
251,80099187,BNO,-87.18,-13.56,-12.54,-17.88,-41.69,-104.81,-0.26,0.25,-0.45
252,80157471,GPS,0,0,0,0,0,0,,,
253,80187712,BMP390,21.82,1007.44,-0.05,,,,,,
254,80244746,BNO,-87.18,-13.56,-12.54,-17.88,-41.69,-104.81,0.07,0,-0.05
255,80299557,BMP390,21.82,1007.44,-0.06,,,,,,
256,80356672,BNO,-87.52,-12.72,-11.91,-17.88,-41.69,-104.81,0.07,0,-0.05
257,80415472,GPS,0,0,0,0,0,0,,,
258,80447580,BMP390,21.81,1007.44,-0.04,,,,,,
259,80504644,BNO,-87.52,-12.72,-11.91,-17.88,-41.69,-104.81,0.05,0.07,-0.02
260,80559736,BMP390,21.81,1007.44,-0.07,,,,,,
261,80616827,BNO,-87.52,-12.72,-11.91,-17.88,-41.69,-104.81,0.23,-0.09,-0.08
262,80674746,GPS,0,0,0,0,0,0,,,
263,80705667,BMP390,21.8,1007.45,-0.09,,,,,,
264,80762665,BNO,-87.52,-12.72,-11.91,-17.88,-41.69,-104.81,-0.01,-0.05,0.11
265,80816209,BMP390,21.8,1007.44,-0.06,,,,,,
266,80873201,BNO,-87.52,-12.72,-11.91,-17.88,-41.69,-104.81,0.07,-0.09,-0.15
267,80932745,GPS,0,0,0,0,0,0,,,
268,80963550,BMP390,21.8,1007.44,-0.07,,,,,,
269,81020507,BNO,-87.52,-12.72,-11.91,-17.88,-41.69,-104.81,0.05,-0.03,0.33
270,81073935,BMP390,21.79,1007.44,-0.05,,,,,,
271,81130946,BNO,-87.52,-12.72,-11.91,-17.88,-41.69,-104.81,0.06,0.18,-0.21
272,81189663,GPS,0,0,0,0,0,0,,,
273,81220241,BMP390,21.79,1007.45,-0.11,,,,,,
274,81277247,BNO,-89.54,-11.49,-11.17,-17.88,-41.69,-104.81,0.06,0.18,-0.21
275,81331095,BMP390,21.78,1007.45,-0.13,,,,,,
276,81389269,BNO,-89.54,-11.49,-11.17,-16.63,-44,-107.31,0.06,0.18,-0.21
277,81447602,GPS,0,0,0,0,0,0,,,
278,81478856,BMP390,21.78,1007.46,-0.18,,,,,,
279,81535868,BNO,-89.54,-11.49,-11.17,-16.63,-44,-107.31,0.13,0,0.21
280,81589835,BMP390,21.77,1007.45,-0.1,,,,,,
281,81646830,BNO,-90.77,-11.82,-11.04,-16.63,-44,-107.31,0.13,0,0.21
282,81704222,GPS,0,0,0,0,0,0,,,
283,81735205,BMP390,21.77,1007.45,-0.15,,,,,,
284,81792187,BNO,-90.77,-11.82,-11.04,-16.63,-44,-107.31,0.08,0.15,-0.32
285,81847487,BMP390,21.77,1007.45,-0.12,,,,,,
286,81904447,BNO,-90.77,-11.82,-11.04,-16.63,-44,-107.31,0.08,-0.16,0.07
287,81962675,GPS,0,0,0,0,0,0,,,
288,81992708,BMP390,21.76,1007.45,-0.17,,,,,,
289,82049631,BNO,-90.77,-11.82,-11.04,-17.31,-44.06,-108.06,0.08,-0.16,0.07
290,82104061,BMP390,21.76,1007.45,-0.14,,,,,,
291,82161062,BNO,-90.77,-11.82,-11.04,-17.31,-44.06,-108.06,-0.05,-0.05,0.16
292,82219652,GPS,0,0,0,0,0,0,,,
293,82250016,BMP390,21.76,1007.45,-0.17,,,,,,
294,82306994,BNO,-90.88,-11.49,-9.2,-17.31,-44.06,-108.06,-0.05,-0.05,0.16
295,82370097,BMP390,21.75,1007.45,-0.15,,,,,,
296,82429419,BNO,-91.07,-11.03,-9.31,-17.31,-44.06,-108.06,-0.05,-0.05,0.16
